F. contable;F. valor;Concepto;Importe;Saldo anterior;Saldo;Seq;Import_num;Saldo anterior;Tiene fecha;Fecha Valor Concepto;Clave_Concepto;Categoria;Subcategoria;Mes_Valor_Concepto;Fijo_Variable
07/01/2016;06/01/2016;T/ TABASA VALLVI N. 03-01-2016;-3,70;17707,56;17703,86;8156;-3,70;17703,86;2016-01-03;03/01/2016;TABASA;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
07/01/2016;06/01/2016;T/ TABASA VALLVI S. 03-01-2016;-3,70;17703,86;17700,16;8157;-3,70;17700,16;2016-01-03;03/01/2016;TABASA;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
08/01/2016;03/01/2016;T/ AUTOPISTAS TERR;-2,51;17700,16;17697,65;8158;-2,51;17697,65;2016-01-03;03/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
08/01/2016;03/01/2016;T/ AUTOPISTAS TERR;-2,51;17697,65;17695,14;8159;-2,51;17695,14;2016-01-03;03/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
08/01/2016;08/01/2016;T/ WWW.JUST-EAT.ES 05-01-2016;-25,55;17695,14;17669,59;8160;-25,55;17669,59;2016-01-05;05/01/2016;WWWJUSTEATES;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
08/01/2016;08/01/2016;T/ SATURN E515 EL\PRAT 05-01-2016;-99,95;17669,59;17569,64;8161;-99,95;17569,64;2016-01-05;05/01/2016;SATURN;Gastos_Compras;Hobbys;1;VARIABLES
08/01/2016;08/01/2016;T/ CINESA PARC VALLES\ 05-01-2016;-37,00;17569,64;17532,64;8162;-37,00;17532,64;2016-01-05;05/01/2016;CINESA;Gastos_Ocio y transporte;Espectáculos;1;VARIABLES
10/01/2016;10/01/2016;T/ CINESA PARC VALLES\ 07-01-2016;-15,40;17532,64;17517,24;8163;-15,40;17517,24;2016-01-07;07/01/2016;CINESA;Gastos_Ocio y transporte;Espectáculos;1;VARIABLES
10/01/2016;10/01/2016;T/ MERCADONA PARC VAL\ 07-01-2016;-12,65;17517,24;17504,59;8164;-12,65;17504,59;2016-01-07;07/01/2016;MERCADONA;Gastos_Compras;Supermercado;1;VARIABLES
10/01/2016;10/01/2016;T/ CINESA PARC VALLES\ 07-01-2016;-7,60;17504,59;17496,99;8165;-7,60;17496,99;2016-01-07;07/01/2016;CINESA;Gastos_Ocio y transporte;Espectáculos;1;VARIABLES
10/01/2016;10/01/2016;T/ CAFET.C T PRAT\PRAT 07-01-2016;-2,15;17496,99;17494,84;8166;-2,15;17494,84;2016-01-07;07/01/2016;CAFETC;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
10/01/2016;10/01/2016;T/ CAFET.C T PRAT\PRAT 07-01-2016;-4,50;17494,84;17490,34;8167;-4,50;17490,34;2016-01-07;07/01/2016;CAFETC;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
10/01/2016;10/01/2016;T/ FRANKFURT LES LLET\ 07-01-2016;-4,00;17490,34;17486,34;8168;-4,00;17486,34;2016-01-07;07/01/2016;FRANKFURT;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
10/01/2016;10/01/2016;T/ CEDIPSA 13497-1 C\B 07-01-2016;-30,00;17486,34;17456,34;8169;-30,00;17456,34;2016-01-07;07/01/2016;CEDIPSA;Gastos_Ocio y transporte;Gasolina;1;VARIABLES
11/01/2016;11/01/2016;T/ FRANKFURT LES LLET\ 08-01-2016;-2,50;17456,34;17453,84;8170;-2,50;17453,84;2016-01-08;08/01/2016;FRANKFURT;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
12/01/2016;12/01/2016;R/ BLITZ 40, S. Alquiler mes en c;-72,50;17453,84;17381,34;8171;-72,50;17381,34;2016-01-12;12/01/2016;BLITZ;Gastos_Vivienda y vehiculo;Alquiler Parking;1;FIJO
12/01/2016;07/01/2016;T/ AUTOPISTAS TERR;-1,38;17381,34;17379,96;8172;-1,38;17379,96;2016-01-07;07/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
12/01/2016;08/01/2016;T/ AUTOPISTAS TERR;-1,38;17379,96;17378,58;8173;-1,38;17378,58;2016-01-08;08/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
12/01/2016;08/01/2016;T/ AUTOPISTAS TERR;-1,38;17378,58;17377,20;8174;-1,38;17377,20;2016-01-08;08/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
12/01/2016;12/01/2016;T/ FOTOPRIX SA \B 09-01-2016;-5,25;17377,20;17371,95;8175;-5,25;17371,95;2016-01-09;09/01/2016;FOTOPRIX;Gastos_Compras;Niños;1;VARIABLES
12/01/2016;12/01/2016;T/ MERCADONA PARC VAL\ 09-01-2016;-27,13;17371,95;17344,82;8176;-27,13;17344,82;2016-01-09;09/01/2016;MERCADONA;Gastos_Compras;Supermercado;1;VARIABLES
12/01/2016;12/01/2016;T/ PRODUCTOS NATURAL\B 09-01-2016;-23,90;17344,82;17320,92;8177;-23,90;17320,92;2016-01-09;09/01/2016;PRODUCTOS;Gastos_Salud, saber y deporte;Otros Salud;1;VARIABLES
12/01/2016;12/01/2016;T/ PRODUCTOS NATURAL\B 09-01-2016;-111,49;17320,92;17209,43;8178;-111,49;17209,43;2016-01-09;09/01/2016;PRODUCTOS;Gastos_Salud, saber y deporte;Otros Salud;1;VARIABLES
13/01/2016;13/01/2016;O/ GENERALITAT DE CATALUNYA-BENES;372,17;17209,43;17581,60;8179;372,17;17581,60;2016-01-13;13/01/2016;GENERALITAT;Ingresos;Subvenciones;1;
13/01/2016;11/01/2016;T/ AUTOPISTAS TERR;-1,38;17581,60;17580,22;8180;-1,38;17580,22;2016-01-11;11/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
13/01/2016;11/01/2016;T/ AUTOPISTAS TERR;-1,38;17580,22;17578,84;8181;-1,38;17578,84;2016-01-11;11/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
13/01/2016;11/01/2016;T/ TABASA VALLVI S. 08-01-2016;-4,16;17578,84;17574,68;8182;-4,16;17574,68;2016-01-08;08/01/2016;TABASA;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
14/01/2016;12/01/2016;T/ AUTOPISTAS TERR;-1,38;17574,68;17573,30;8183;-1,38;17573,30;2016-01-12;12/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
14/01/2016;14/01/2016;T/ FRANKFURT LES LLET\ 11-01-2016;-6,90;17573,30;17566,40;8184;-6,90;17566,40;2016-01-11;11/01/2016;FRANKFURT;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
14/01/2016;14/01/2016;T/ FRANKFURT LES LLET\ 11-01-2016;-1,40;17566,40;17565,00;8185;-1,40;17565,00;2016-01-11;11/01/2016;FRANKFURT;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
14/01/2016;14/01/2016;T/ TABASA VALLVI S. 11-01-2016;-4,16;17565,00;17560,84;8186;-4,16;17560,84;2016-01-11;11/01/2016;TABASA;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
14/01/2016;14/01/2016;T/ MERCADONA - CUATRE\ 11-01-2016;-31,84;17560,84;17529,00;8187;-31,84;17529,00;2016-01-11;11/01/2016;MERCADONA;Gastos_Compras;Supermercado;1;VARIABLES
15/01/2016;15/01/2016;R/ SEGUROS ADESLAS CENT MODULAR CO;-113,89;17529,00;17415,11;8188;-113,89;17415,11;2016-01-15;15/01/2016;ADESLAS;Gastos_Salud, saber y deporte;Medico;1;VARIABLES
15/01/2016;13/01/2016;T/ AUTOPISTAS TERR;-1,38;17415,11;17413,73;8189;-1,38;17413,73;2016-01-13;13/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
16/01/2016;16/01/2016;T/ MERCADONA - CUATRE\ 13-01-2016;-8,85;17413,73;17404,88;8190;-8,85;17404,88;2016-01-13;13/01/2016;MERCADONA;Gastos_Compras;Supermercado;1;VARIABLES
16/01/2016;16/01/2016;T/ MERCADONA - CUATRE\ 13-01-2016;-126,56;17404,88;17278,32;8191;-126,56;17278,32;2016-01-13;13/01/2016;MERCADONA;Gastos_Compras;Supermercado;1;VARIABLES
18/01/2016;18/01/2016;R/ TELEFONO Vodafone Ono ONOAU16-0;-115,23;17278,32;17163,09;8192;-115,23;17163,09;2016-01-18;18/01/2016;TELEFONO;Gastos_Servicios tipicos;Telecomunicaciones;1;FIJO
18/01/2016;18/01/2016;R/ SEGUROS CCM VIDA Y P Recibo:133;-21,76;17163,09;17141,33;8193;-21,76;17141,33;2016-01-18;18/01/2016;CCM;Gastos_Seguros;Seguro vida;1;FIJO
18/01/2016;18/01/2016;R/ SEGUROS CCM VIDA Y P Recibo:133;-17,40;17141,33;17123,93;8194;-17,40;17123,93;2016-01-18;18/01/2016;CCM;Gastos_Seguros;Seguro vida;1;FIJO
18/01/2016;18/01/2016;T/ EL RACO \ 15-01-2016;-14,45;17123,93;17109,48;8195;-14,45;17109,48;2016-01-15;15/01/2016;RACO;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
18/01/2016;18/01/2016;T/ FRANKFURT LES LLET\ 15-01-2016;-1,40;17109,48;17108,08;8196;-1,40;17108,08;2016-01-15;15/01/2016;FRANKFURT;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
19/01/2016;19/01/2016;T/ VIENA XALET SABADE\ 16-01-2016;-10,50;17108,08;17097,58;8197;-10,50;17097,58;2016-01-16;16/01/2016;VIENA;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
20/01/2016;18/01/2016;T/ AUTOPISTAS TERR;-1,38;17097,58;17096,20;8198;-1,38;17096,20;2016-01-18;18/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
20/01/2016;20/01/2016;T/ LA BRASA \ 17-01-2016;-15,00;17096,20;17081,20;8199;-15,00;17081,20;2016-01-17;17/01/2016;BRASA;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
21/01/2016;21/01/2016;T/ CEDIPSA 15838-1 EG\ 18-01-2016;-41,20;17081,20;17040,00;8200;-41,20;17040,00;2016-01-18;18/01/2016;CEDIPSA;Gastos_Ocio y transporte;Gasolina;1;VARIABLES
22/01/2016;19/01/2016;T/ AUTOPISTAS TERR;-1,38;17040,00;17038,62;8201;-1,38;17038,62;2016-01-19;19/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
22/01/2016;20/01/2016;T/ AUTOPISTAS TERR;-1,38;17038,62;17037,24;8202;-1,38;17037,24;2016-01-20;20/01/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
22/01/2016;22/01/2016;CAJ. AJENO SERVIRED \TERRASSA;-20,00;17037,24;17017,24;8203;-20,00;17017,24;2016-01-22;22/01/2016;CAJ;Gastos_Gastos varios;Efectivo;1;VARIABLES
22/01/2016;22/01/2016;COM. 64970028 SVRED CAJ OFI;-1,87;17017,24;17015,37;8204;-1,87;17015,37;2016-01-22;22/01/2016;COM;Gastos_Banco y organismos;Cargos banco;1;FIJO
22/01/2016;22/01/2016;T/ LIDL TERRASSA LES \ 19-01-2016;-41,59;17015,37;16973,78;8205;-41,59;16973,78;2016-01-19;19/01/2016;LIDL;Gastos_Compras;Supermercado;1;VARIABLES
24/01/2016;24/01/2016;T/ CAPRABO \ 21-01-2016;-14,92;16973,78;16958,86;8206;-14,92;16958,86;2016-01-21;21/01/2016;CAPRABO;Gastos_Compras;Supermercado;1;VARIABLES
24/01/2016;24/01/2016;T/ FRANKFURT LES LLET\ 21-01-2016;-4,00;16958,86;16954,86;8207;-4,00;16954,86;2016-01-21;21/01/2016;FRANKFURT;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
24/01/2016;23/01/2016;T/ TABASA VALLVI S. 20-01-2016;-4,16;16954,86;16950,70;8208;-4,16;16950,70;2016-01-20;20/01/2016;TABASA;Gastos_Ocio y transporte;Parking y peaje;1;VARIABLES
25/01/2016;25/01/2016;T/ CAFET.C T PRAT\PRAT 22-01-2016;-0,90;16950,70;16949,80;8209;-0,90;16949,80;2016-01-22;22/01/2016;CAFETC;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
25/01/2016;25/01/2016;T/ MERCADONA PARC VAL\ 22-01-2016;-13,88;16949,80;16935,92;8210;-13,88;16935,92;2016-01-22;22/01/2016;MERCADONA;Gastos_Compras;Supermercado;1;VARIABLES
25/01/2016;25/01/2016;T/ LA TERRASSETA \ 22-01-2016;-13,20;16935,92;16922,72;8211;-13,20;16922,72;2016-01-22;22/01/2016;TERRASSETA;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
26/01/2016;26/01/2016;T/ CAPRABO - 427 TERR\ 23-01-2016;-25,07;16922,72;16897,65;8212;-25,07;16897,65;2016-01-23;23/01/2016;CAPRABO;Gastos_Compras;Supermercado;1;VARIABLES
26/01/2016;26/01/2016;T/ LEFTIES \B 23-01-2016;-21,97;16897,65;16875,68;8213;-21,97;16875,68;2016-01-23;23/01/2016;LEFTIES;Gastos_Compras;Ropa;1;VARIABLES
26/01/2016;26/01/2016;T/ PRODUCTOS NATURAL\B 23-01-2016;-60,90;16875,68;16814,78;8214;-60,90;16814,78;2016-01-23;23/01/2016;PRODUCTOS;Gastos_Salud, saber y deporte;Otros Salud;1;VARIABLES
26/01/2016;26/01/2016;T/ SATURN E515 EL\PRAT 23-01-2016;-49,79;16814,78;16764,99;8215;-49,79;16764,99;2016-01-23;23/01/2016;SATURN;Gastos_Compras;Hobbys;1;VARIABLES
28/01/2016;28/01/2016;HAB. FOMENT DE TERRASSA, SA;1789,37;16764,99;18554,36;8216;1789,37;18554,36;2016-01-28;28/01/2016;HAB;Ingresos;Nomina;1;FIJO
29/01/2016;29/01/2016;HAB. INFORMACIO I TECNOLOGIA DE CAT;1615,32;18554,36;20169,68;8217;1615,32;20169,68;2016-01-29;29/01/2016;HAB;Ingresos;Nomina;1;FIJO
29/01/2016;29/01/2016;T/ FRANKFURT LES LLET\ 26-01-2016;-3,80;20169,68;20165,88;8218;-3,80;20165,88;2016-01-26;26/01/2016;FRANKFURT;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
29/01/2016;29/01/2016;T/ CAFET.C T PRAT\PRAT 26-01-2016;-4,80;20165,88;20161,08;8219;-4,80;20161,08;2016-01-26;26/01/2016;CAFETC;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
29/01/2016;01/02/2016;INT. 210560613010013266;0,61;20161,08;20161,69;8220;0,61;20161,69;2016-02-01;01/02/2016;INT;Ingresos;Rendimientos;2;
29/01/2016;01/02/2016;RET.REND.CAP.M;-0,12;20161,69;20161,57;8221;-0,12;20161,57;2016-02-01;01/02/2016;RETRENDCAPM;Gastos_Banco y organismos;Impuestos;2;FIJO
30/01/2016;30/01/2016;T/ LA TERRASSETA \ 27-01-2016;-4,30;20161,57;20157,27;8222;-4,30;20157,27;2016-01-27;27/01/2016;TERRASSETA;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
30/01/2016;30/01/2016;T/ FRANKFURT LES LLET\ 27-01-2016;-3,15;20157,27;20154,12;8223;-3,15;20154,12;2016-01-27;27/01/2016;FRANKFURT;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
31/01/2016;31/01/2016;REC. 6061.9600001223;-530,06;20154,12;19624,06;8224;-530,06;19624,06;2016-01-31;31/01/2016;REC;Gastos_Banco y organismos;Hipoteca;1;FIJO
31/01/2016;31/01/2016;T/ CAFET.C T PRAT\PRAT 28-01-2016;-1,80;19624,06;19622,26;8225;-1,80;19622,26;2016-01-28;28/01/2016;CAFETC;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
31/01/2016;31/01/2016;T/ GAME CC CARREFOUR \ 28-01-2016;-19,95;19622,26;19602,31;8226;-19,95;19602,31;2016-01-28;28/01/2016;GAME;Gastos_Compras;Hobbys;1;VARIABLES
31/01/2016;31/01/2016;T/ LA BRASA \ 28-01-2016;-46,00;19602,31;19556,31;8227;-46,00;19556,31;2016-01-28;28/01/2016;BRASA;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
31/01/2016;31/01/2016;FACT TARJETAS TARJ.CREDITO 42689013 16-02-01;-340,31;19556,31;19216,00;8228;-340,31;19216,00;2016-02-01;31/01/2016;FACT;No computable;Recibo Tarjeta;1;
01/02/2016;01/02/2016;R/ AJUNTAMENT D I.B.I. CA D.ALBI;-45,65;19216,00;19170,35;8229;-45,65;19170,35;2016-02-01;01/02/2016;AJUNTAMENT;Gastos_Banco y organismos;Ayuntamiento;2;FIJO
01/02/2016;01/02/2016;T/ CAFET.C T PRAT\PRAT 29-01-2016;-1,30;19170,35;19169,05;8230;-1,30;19169,05;2016-01-29;29/01/2016;CAFETC;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
01/02/2016;01/02/2016;T/ LIDL TERRASSA LES \ 29-01-2016;-85,06;19169,05;19083,99;8231;-85,06;19083,99;2016-01-29;29/01/2016;LIDL;Gastos_Compras;Supermercado;1;VARIABLES
01/02/2016;01/02/2016;LIMPIEZA;-130,00;19083,99;18953,99;8232;-130,00;18953,99;2016-02-01;01/02/2016;LIMPIEZA;Gastos_Vivienda y vehiculo;Serv. domestico;2;FIJO
02/02/2016;02/02/2016;R/ GAS GAS NATURAL GNS27630480116;-230,69;18953,99;18723,30;8233;-230,69;18723,30;2016-02-02;02/02/2016;GAS;Gastos_Servicios tipicos;Gas;2;FIJO
02/02/2016;02/02/2016;CAJ. AJENO SISTEMA 4B \TERRASSA;-40,00;18723,30;18683,30;8234;-40,00;18683,30;2016-02-02;02/02/2016;CAJ;Gastos_Gastos varios;Efectivo;2;VARIABLES
02/02/2016;02/02/2016;COM. 76985025 4b CAJ4 OFI9376;-1,85;18683,30;18681,45;8235;-1,85;18681,45;2016-02-02;02/02/2016;COM;Gastos_Banco y organismos;Cargos banco;2;FIJO
02/02/2016;02/02/2016;T/ SUPER.REYPA \TARRA 30-01-2016;-8,16;18681,45;18673,29;8236;-8,16;18673,29;2016-01-30;30/01/2016;SUPERREYPA;Gastos_Compras;Supermercado;1;VARIABLES
03/02/2016;03/02/2016;R/ CEM - CENTRE DESCRIPCION;-97,50;18673,29;18575,79;8237;-97,50;18575,79;2016-02-03;03/02/2016;CEM;Gastos_Salud, saber y deporte;Estudios;2;VARIABLES
04/02/2016;04/02/2016;T/ CAPRABO \ 01-02-2016;-4,88;18575,79;18570,91;8238;-4,88;18570,91;2016-02-01;01/02/2016;CAPRABO;Gastos_Compras;Supermercado;2;VARIABLES
06/02/2016;06/02/2016;CAJ. AJENO CAIXABANK \BARCELONA;-50,00;18570,91;18520,91;8239;-50,00;18520,91;2016-02-06;06/02/2016;CAJ;Gastos_Gastos varios;Efectivo;2;VARIABLES
06/02/2016;06/02/2016;COM. 76985025 SVRED CAJ OFI;-2,00;18520,91;18518,91;8240;-2,00;18518,91;2016-02-06;06/02/2016;COM;Gastos_Banco y organismos;Cargos banco;2;FIJO
06/02/2016;06/02/2016;T/ CAFET.C T PRAT\PRAT 03-02-2016;-3,15;18518,91;18515,76;8241;-3,15;18515,76;2016-02-03;03/02/2016;CAFETC;Gastos_Ocio y transporte;Restaurantes;2;VARIABLES
08/02/2016;08/02/2016;T/ LA TERRASSETA \ 05-02-2016;-2,70;18515,76;18513,06;8242;-2,70;18513,06;2016-02-05;05/02/2016;TERRASSETA;Gastos_Ocio y transporte;Restaurantes;2;VARIABLES
08/02/2016;08/02/2016;T/ FRANKFURT LES LLET\ 05-02-2016;-2,70;18513,06;18510,36;8243;-2,70;18510,36;2016-02-05;05/02/2016;FRANKFURT;Gastos_Ocio y transporte;Restaurantes;2;VARIABLES
09/02/2016;09/02/2016;R/ GAS GAS NATURAL GNS27630480216;-45,56;18510,36;18464,80;8244;-45,56;18464,80;2016-02-09;09/02/2016;GAS;Gastos_Servicios tipicos;Gas;2;FIJO
09/02/2016;09/02/2016;R/ BLITZ 40, S. Alquiler mes en c;-72,50;18464,80;18392,30;8245;-72,50;18392,30;2016-02-09;09/02/2016;BLITZ;Gastos_Vivienda y vehiculo;Alquiler Parking;2;FIJO
09/02/2016;09/02/2016;T/ SABA PL. CAT 06-02-2016;-5,85;18392,30;18386,45;8246;-5,85;18386,45;2016-02-06;06/02/2016;SABA;Gastos_Ocio y transporte;Parking y peaje;2;VARIABLES
09/02/2016;09/02/2016;T/ PRODUCTOS NATURAL\B 06-02-2016;-39,54;18386,45;18346,91;8247;-39,54;18346,91;2016-02-06;06/02/2016;PRODUCTOS;Gastos_Salud, saber y deporte;Otros Salud;2;VARIABLES
09/02/2016;09/02/2016;T/ DULCINEA \B 06-02-2016;-22,90;18346,91;18324,01;8248;-22,90;18324,01;2016-02-06;06/02/2016;DULCINEA;Gastos_Ocio y transporte;Restaurantes;2;VARIABLES
10/02/2016;10/02/2016;R/ Serunion SA /FOR/ESCOLA SALA;-118,60;18324,01;18205,41;8249;-118,60;18205,41;2016-02-10;10/02/2016;SERUNION;Gastos_Salud, saber y deporte;Menjador;2;FIJO
10/02/2016;10/02/2016;R/ Serunion SA /FOR/ESCOLA SALA;-118,60;18205,41;18086,81;8250;-118,60;18086,81;2016-02-10;10/02/2016;SERUNION;Gastos_Salud, saber y deporte;Menjador;2;FIJO
10/02/2016;05/02/2016;T/ AUTOPISTAS TERR;-1,38;18086,81;18085,43;8251;-1,38;18085,43;2016-02-05;05/02/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;2;VARIABLES
10/02/2016;10/02/2016;T/ BURGUER KING PARC \ 07-02-2016;-10,60;18085,43;18074,83;8252;-10,60;18074,83;2016-02-07;07/02/2016;BURGUER;Gastos_Ocio y transporte;Restaurantes;2;VARIABLES
11/02/2016;11/02/2016;COM. 64970028 SVRED CAJ OFI;-1,87;18074,83;18072,96;8253;-1,87;18072,96;2016-02-11;11/02/2016;COM;Gastos_Banco y organismos;Cargos banco;2;FIJO
11/02/2016;11/02/2016;COM. 64970028 SVRED CAJ OFI;-1,87;18072,96;18071,09;8254;-1,87;18071,09;2016-02-11;11/02/2016;COM;Gastos_Banco y organismos;Cargos banco;2;FIJO
11/02/2016;11/02/2016;ABO.COMIS. 64970028 SVRED CAJ1033 OFI1113;1,87;18071,09;18072,96;8255;1,87;18072,96;2016-02-11;11/02/2016;ABOCOMIS;Ingresos;Devoluciones;2;VARIABLES
11/02/2016;09/02/2016;T/ AUTOPISTAS TERR;-1,38;18072,96;18071,58;8256;-1,38;18071,58;2016-02-09;09/02/2016;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;2;VARIABLES
11/02/2016;11/02/2016;T/ CAPRABO \ 08-02-2016;-7,92;18071,58;18063,66;8257;-7,92;18063,66;2016-02-08;08/02/2016;CAPRABO;Gastos_Compras;Supermercado;2;VARIABLES
11/02/2016;11/02/2016;T/ CAPRABO \ 08-02-2016;-24,04;18063,66;18039,62;8258;-24,04;18039,62;2016-02-08;08/02/2016;CAPRABO;Gastos_Compras;Supermercado;2;VARIABLES
